uniqueSampleKey,uniquePatientKey,molecularProfileId,sampleId,patientId,entrezGeneId,studyId,alteration
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",10632,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",4297,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",84866,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",143941,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",56912,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",372,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",23187,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",11181,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",1656,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",643,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",283149,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",100616376,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",7379,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",106479474,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",283150,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",338657,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",6230,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",100500840,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",51399,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",2542,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",10525,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",55823,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",3145,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",1798,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",3014,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",9854,"acc_tcga",2
