uniqueSampleKey,uniquePatientKey,entrezGeneId,molecularProfileId,sampleId,patientId,studyId,value
"VENHQS1PUi1BNUxPLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxPOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LO-01","TCGA-OR-A5LO","acc_tcga",30.024
"VENHQS1PUi1BNUxQLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxQOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LP-01","TCGA-OR-A5LP","acc_tcga",34.3792
"VENHQS1PUi1BNUxSLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxSOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LR-01","TCGA-OR-A5LR","acc_tcga",164.8536
"VENHQS1PUi1BNUxTLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxTOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LS-01","TCGA-OR-A5LS","acc_tcga",23.3576
"VENHQS1PUi1BNUxULTAxOmFjY190Y2dh","VENHQS1PUi1BNUxUOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LT-01","TCGA-OR-A5LT","acc_tcga",32.3129
"VENHQS1PVS1BNVBJLTAxOmFjY190Y2dh","VENHQS1PVS1BNVBJOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OU-A5PI-01","TCGA-OU-A5PI","acc_tcga",19.3843
"VENHQS1QNi1BNU9GLTAxOmFjY190Y2dh","VENHQS1QNi1BNU9GOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-P6-A5OF-01","TCGA-P6-A5OF","acc_tcga",46.3277
"VENHQS1QNi1BNU9HLTAxOmFjY190Y2dh","VENHQS1QNi1BNU9HOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-P6-A5OG-01","TCGA-P6-A5OG","acc_tcga",309.3585
"VENHQS1QQS1BNVlHLTAxOmFjY190Y2dh","VENHQS1QQS1BNVlHOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-PA-A5YG-01","TCGA-PA-A5YG","acc_tcga",42.4873
"VENHQS1QSy1BNUg4LTAxOmFjY190Y2dh","VENHQS1QSy1BNUg4OmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-PK-A5H8-01","TCGA-PK-A5H8","acc_tcga",1622.0737
"VENHQS1QSy1BNUg5LTAxOmFjY190Y2dh","VENHQS1QSy1BNUg5OmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-PK-A5H9-01","TCGA-PK-A5H9","acc_tcga",92.9355
"VENHQS1QSy1BNUhBLTAxOmFjY190Y2dh","VENHQS1QSy1BNUhBOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-PK-A5HA-01","TCGA-PK-A5HA","acc_tcga",710.1158
"VENHQS1QSy1BNUhCLTAxOmFjY190Y2dh","VENHQS1QSy1BNUhCOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-PK-A5HB-01","TCGA-PK-A5HB","acc_tcga",152.3777
